id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	41	15	26	41	0	0
2	0	15	15	65	16	24	50	10	0
3	0	52	52	112	28	30	60	2	0
4	0	194	194	237	23	20	43	0	0
6	0	307	307	319	7	3	12	2	0
5	0	280	280	321	15	22	41	4	0
7	0	369	369	394	19	6	25	0	0
9	0	591	591	610	12	7	19	0	0
8	0	553	553	633	15	65	80	0	0
10	0	834	834	837	3	0	3	0	0
11	0	866	866	869	3	0	3	0	0
12	0	1014	1014	1020	6	0	6	0	0
13	0	1049	1049	1058	9	0	9	0	0
14	0	1134	1134	1143	5	4	9	0	0
15	0	1190	1190	1197	5	2	7	0	0
16	0	1251	1251	1253	2	0	2	0	0
17	0	1291	1291	1295	4	0	4	0	0
19	0	1401	1405	1411	6	0	10	4	4
18	0	1373	1373	1415	20	22	42	0	0
20	0	1881	1881	1890	7	2	9	0	0
0	0	0	0	1890	1670	0	1890	220	0
