id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	45	45	46	1	0	1	0	0
4	0	142	142	152	10	0	10	0	0
3	0	138	139	361	51	161	223	11	1
6	0	421	421	422	1	0	1	0	0
8	0	467	467	521	9	35	54	10	0
1	0	0	0	599	89	486	599	24	0
5	0	395	395	622	43	169	227	15	0
7	0	459	459	677	57	143	218	18	0
9	0	668	668	680	8	0	12	4	0
10	0	717	717	844	41	86	127	0	0
11	0	846	846	862	6	10	16	0	0
12	0	1136	1136	1218	7	75	82	0	0
13	0	1177	1177	1452	56	218	275	1	0
16	0	1836	1836	1838	2	0	2	0	0
15	0	1657	1657	1965	29	270	308	9	0
14	0	1654	1654	2109	93	352	455	10	0
17	0	2102	2103	2378	48	226	276	2	1
18	0	2475	2475	2477	2	0	2	0	0
21	0	2575	2575	2635	19	41	60	0	0
19	0	2515	2515	2675	26	134	160	0	0
20	0	2546	2546	2743	42	154	197	1	0
22	0	2604	2604	3003	49	347	399	3	0
24	0	3123	3123	3125	2	0	2	0	0
23	0	3065	3065	3161	14	82	96	0	0
25	0	3208	3208	3256	7	41	48	0	0
26	0	3327	3327	3340	13	0	13	0	0
27	0	3397	3397	3454	21	36	57	0	0
28	0	3419	3419	3471	28	24	52	0	0
31	0	3608	3608	3610	2	0	2	0	0
29	0	3517	3517	3667	25	125	150	0	0
30	0	3593	3593	3792	36	163	199	0	0
33	0	3704	3704	3847	29	97	143	17	0
32	0	3682	3682	3883	38	144	201	19	0
34	0	3817	3817	3897	14	61	80	5	0
36	0	4136	4136	4142	6	0	6	0	0
35	0	3829	3831	4180	68	276	351	7	2
38	0	4307	4307	4316	5	4	9	0	0
37	0	4267	4267	4488	31	190	221	0	0
39	0	4465	4465	4538	14	56	73	3	0
42	0	4605	4605	4636	26	5	31	0	0
40	0	4525	4525	4729	29	168	204	7	0
43	0	4651	4651	4821	25	145	170	0	0
46	0	5011	5011	5023	9	3	12	0	0
45	0	4898	4899	5055	16	135	157	6	1
44	0	4871	4871	5208	65	267	337	5	0
47	0	5178	5178	5212	14	20	34	0	0
41	0	4555	4555	5259	84	613	704	7	0
49	0	5431	5431	5495	6	58	64	0	0
50	0	5534	5538	5542	4	0	8	4	4
48	0	5267	5267	6026	104	651	759	4	0
0	0	0	0	6026	4602	0	6026	1424	0
