id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
3	0	134	134	265	23	94	131	14	0
4	0	255	265	329	14	45	74	15	10
1	0	0	0	354	82	263	354	9	0
8	0	670	670	686	16	0	16	0	0
7	0	514	516	696	48	82	182	52	2
5	0	360	367	746	70	292	386	24	7
2	0	63	63	819	138	523	756	95	0
9	0	758	763	877	8	100	119	11	5
12	0	974	974	1023	10	39	49	0	0
10	0	821	821	1068	34	213	247	0	0
6	0	417	417	1084	114	497	667	56	0
15	0	1073	1084	1099	9	6	26	11	11
13	0	1054	1054	1182	16	92	128	20	0
17	0	1169	1173	1197	2	22	28	4	4
11	0	867	867	1279	90	294	412	28	0
16	0	1097	1101	1339	62	141	242	39	4
18	0	1188	1188	1368	15	137	180	28	0
19	0	1210	1210	1378	33	78	168	57	0
14	0	1071	1071	1420	39	239	349	71	0
21	0	1518	1523	1561	16	18	43	9	5
23	0	1572	1572	1574	2	0	2	0	0
24	0	1721	1721	1722	1	0	1	0	0
20	0	1286	1291	1761	101	334	475	40	5
22	0	1567	1567	1862	33	256	295	6	0
25	0	1902	1902	1932	12	17	30	1	0
26	0	1916	1916	1995	17	62	79	0	0
27	0	2044	2044	2061	12	5	17	0	0
28	0	2239	2239	2241	2	0	2	0	0
30	0	2330	2330	2399	20	27	69	22	0
31	0	2390	2399	2570	17	153	180	10	9
32	0	2601	2601	2631	5	13	30	12	0
29	0	2310	2310	2820	147	362	510	1	0
35	0	3024	3024	3131	24	78	107	5	0
33	0	2612	2612	3245	78	535	633	20	0
34	0	2829	2829	3263	47	376	434	11	0
39	0	3363	3368	3369	1	0	6	5	5
36	0	3098	3098	3388	75	200	290	15	0
38	0	3270	3273	3452	55	92	182	35	3
37	0	3156	3161	3662	81	378	506	47	5
41	0	3859	3859	3988	14	115	129	0	0
40	0	3814	3814	4013	37	156	199	6	0
42	0	4271	4271	4505	61	173	234	0	0
43	0	4633	4633	4734	12	89	101	0	0
45	0	4753	4753	4898	10	130	145	5	0
44	0	4693	4693	4938	32	211	245	2	0
49	0	5005	5008	5013	5	0	8	3	3
46	0	4874	4874	5039	23	123	165	19	0
47	0	4890	4890	5094	24	176	204	4	0
48	0	4984	4986	5140	45	106	156	5	2
50	0	5166	5166	5175	7	2	9	0	0
0	0	0	0	5175	3336	0	5175	1839	0
